-0.045	12.212
-0.441	6.402
0.205	13.448
0.135	13.113
-0.375	7.362
-0.360	8.503
-0.335	8.679
-0.146	11.010
-0.361	8.524
-0.274	9.024
-0.172	10.555
-0.161	10.723
-0.171	10.830
0.190	13.240
0.005	12.316
-0.307	9.052
-0.150	11.293
-0.308	9.360
0.476	13.726
-0.325	9.489
-0.292	9.275
0.047	12.300
-0.289	9.871
-0.420	7.425
-0.317	9.279
-0.390	7.769
-0.248	8.731
0.136	12.680
0.420	13.240
-0.149	11.031
0.142	12.940
-0.416	7.229
-0.398	8.085
-0.347	8.837
-0.256	10.994
0.037	13.383
0.131	12.855
0.367	13.140
-0.202	10.190
-0.278	9.589
-0.267	9.871
-0.368	8.496
-0.254	9.675
-0.226	9.486
0.135	12.691
-0.380	7.563
-0.257	10.070
-0.374	8.314
-0.331	9.048
0.059	12.138
-0.243	10.064
-0.341	9.352
0.368	13.414
0.219	12.290
-0.290	9.432
-0.250	9.823
-0.490	5.621
-0.315	9.124
-0.373	8.236
0.349	13.492
-0.259	9.876
0.052	12.469
-0.382	7.584
-0.251	9.688
-0.329	9.042
-0.305	9.120
-0.362	8.401
-0.328	8.776
-0.394	7.926
-0.180	10.458
-0.270	9.949
-0.372	8.577
-0.449	6.357
-0.335	8.809
-0.009	12.312
-0.290	9.511
-0.509	4.415
-0.427	7.366
-0.344	8.893
-0.048	12.925
-0.072	11.700
-0.235	9.841
-0.308	9.181
-0.467	5.605
0.117	12.724
-0.395	7.924
-0.136	11.197
-0.268	9.528
-0.146	10.991
0.004	12.027
0.060	12.371
0.266	13.625
-0.509	3.913
-0.083	10.569
-0.042	11.764
-0.193	10.643
-0.275	9.345
-0.439	6.040
-0.470	5.517
-0.131	10.998
0.068	12.762
-0.334	9.603
0.064	12.660
-0.052	11.171
0.122	12.640
-0.061	11.430
-0.275	9.598
-0.367	8.253
0.029	12.451
0.113	12.814
0.006	12.194
0.109	12.444
0.148	12.739
-0.467	6.553
