bv_color	abs_mag
0.461	2.481472723
0.081	0.726632134
1.122	0.261326881
1.455	-6.391734905
0.432	3.238780323
0.424	3.478110426
0.422	1.748349228
1.473	9.567223761
1.174	0.713126411
1.688	-2.700263127
1.125	0.142867525
0.455	3.251966165
1.462	-13.25227712
1.125	1.156756605
0.146	0.294957375
0.232	2.154924966
0.979	-1.90377492
0.041	1.412295904
0.332	-6.068122892
0.439	2.859629002
0.636	3.320034603
0.353	2.83251326
-0.023	-0.548824862
0.12	-4.236710708
0.134	1.155656979
1.655	0.052517994
1.408	-2.266992829
0.353	0.539701125
0.956	-0.316455022
1.212	-2.19987993
1.538	-2.142937462
1.071	1.233562997
1.011	0.813183576
0.563	3.566711069
-0.019	-0.24801725
0.488	3.730769825
0.401	2.338304268
0.397	1.222218397
0.78	5.175661505
0.06	0.526148661
1.015	-0.288212173
0.508	3.160307138
0.244	1.024058865
-0.047	0.188435765
1.629	-1.695089638
0.136	1.893228236
0.741	4.114557099
0.616	4.236496434
1.26	7.484012135
0.303	2.661189109
0.23	1.41333358
0.7	4.855508396
0.456	2.142820169
0.406	2.952298667
0.54	1.664748056
0.657	3.440779095
0.355	0.588939289
0.314	1.261962004
1.115	0.063668152
0.26	-3.080760436
0.607	3.701355573
0.992	0.113056899
1.003	0.999172327
0.491	2.849267741
0.615	4.225721262
1.692	-4.109955128
0.39	0.12775868
-0.085	-0.24486883
0.699	4.431547832
0.274	-6.600240978
0.563	2.1971781
0.16	2.406537993
0.253	2.250209549
1.68	-2.933957544
0.75	4.803761598
0.037	1.139049187
0.484	3.843250055
1.069	-5.191135894
0.549	3.841100655
1.084	0.866321791
1.5	4.535666741
0.006	0.568443996
1.031	2.029546435
-0.089	-1.068332595
0.64	4.606134958
-0.058	0.346114406
0.855	6.474031984
1.001	0.948380651
1.619	-4.457741485
0.611	3.203756989
0.444	2.337963009
1.025	-3.286645131
0.639	5.136682812
1.162	2.178318878
1.036	0.799159291
1.149	-0.250759744
0.159	-3.481919185
1.181	-1.310876014
0.239	-1.61987993
1.249	0.905656979
0.95	-1.745448862
1.26	-1.728332595
1.021	-2.106710708
1.072	0.068312773
1.508	-2.00377492
1.1	0.631038099
0.881	0.906857321
-0.1	-0.981502915
0.422	2.491403018
1.051	0.550011366
0.792	2.619327852
-0.014	-0.138332595
0.368	1.674697422
0.433	1.383104737
0.376	1.669598482
0.735	4.035250783
0.556	-1.748106645
0.394	2.469662847
0.002	1.686259938
0.43	2.102154239
0.478	2.838711441
0.964	0.975761492
0.632	3.187663745
0.036	0.166632134
1.256	-0.537820278
0.082	1.04235113
0.025	-2.687069119
1.368	-0.48682555
0.755	5.727457918
1.614	0.801061232
0.475	1.715756543
0.674	4.11177879
0.55	3.143681822
1.201	-2.18866409
1.57	-1.454022435
0.71	4.760439874
0.986	0.998678208
0.461	2.818967191
0.946	0.620499492
1.3	2.275351468
0.537	4.110019202
0.889	-0.919127806
0.415	3.317556609
0.759	3.315976144
1.099	0.242154239
-0.067	-1.378381876
0.86	2.125724805
0.577	4.338307496
1.288	-1.364911228
0.437	1.105675023
0.068	0.527070846
0.593	3.768723445
0.51	3.179635578
1.124	-1.917008982
1.472	9.624103225
0.644	3.740667821
1.128	0.767358438
0.496	-0.780496109
0.174	1.761465034
0.692	-1.65793125
0.538	4.165413044
1.076	7.436694861
0.998	0.183204782
0.991	-1.233016007
1.462	10.3535833
-0.006	0.328824771
0.94	-0.373914005
-0.06	1.100545717
1.029	1.553655882
1.156	-2.217439045
0.191	2.110592774
1.093	0.830417287
1.052	-1.78399843
1.12	0.760222568
0.782	3.933756989
1.199	0.976509093
0.46	1.480496544
0.599	1.216919012
1.045	0.497157238
0.99	0.357866696
1.123	0.764141033
1.62	-2.009044589
1.444	-1.245773921
0.666	5.056358926
0.735	5.771674782
0.494	2.893685947
0.446	3.513463266
0.501	-1.25136035
1.249	1.249866896
1.174	-0.605468501
0.725	3.630820348
0.993	0.031356415
1.444	-1.700926037
-0.18	-7.424829859
1.537	0.58335191
1.187	-0.338643585
1.41	7.826146038
0.247	2.299775914
0.636	4.739094129
0.901	0.031468837
0.353	3.289277286
0.524	0.458978565
0.923	-0.842281859
1.1	-1.110310684
0.677	4.185931622
0.414	1.286450375
0.097	1.726968746
0.045	-0.201852322
0.507	3.00131778
0.617	4.509615931
0.646	4.231100655
0.595	4.406149068
1.19	0.55198275
0.51	3.326874476
0.596	4.468599641
0.585	4.404081167
0.92	5.557962469
1.564	0.148824771
0.3	1.507257642
0.239	0.607564427
0.915	-2.891254312
1.812	-0.791097695
1.357	1.183743146
1.531	-1.757665183
0.93	-0.325773921
1.112	0.920725265
-0.039	-2.224501194
1.576	-1.324748586
0.912	-1.380386879
0.633	5.094795853
0.501	2.840069631
1.108	1.47317445
-0.03	0.656741736
1	-0.416206368
0.418	3.230725265
0.509	2.759279099
0.476	2.426450375
0.687	4.403666645
0.459	1.202164166
1.22	1.160476086
0.519	3.604040984
1.55	10.91118742
0.487	2.772449737
1.086	1.369934117
0.256	0.948729441
1.431	-0.137456794
0.593	3.059424981
0.402	1.152898501
0.624	2.648495147
-0.023	-2.42671922
0.526	2.72900655
1.349	1.278568938
0.59	3.606450375
1.39	1.382334817
0.41	1.799374836
1.008	6.411888058
0.426	2.489172327
0.986	-0.159276722
0.578	4.494737809
0.112	0.696351097
0.506	0.86775868
0.752	5.358614527
1.107	1.020299957
1.038	0.815112211
0.548	1.948308067
1.233	-0.622722999
0.148	-0.299790306
0.587	0.769073963
0.69	4.613756989
0.494	2.740297432
0.574	2.780164925
0.41	2.422820169
1.631	-2.094701491
-0.09	-5.934550189
0.386	3.1521959
0.951	0.513126411
1.107	1.004182576
0.58	-2.984948972
0.567	2.789635578
1.125	-1.727013322
1.123	-0.796873589
1.234	-2.611847985
0.58	4.483474229
0.402	2.626756605
1.114	-0.664850022
0.955	-0.05764887
0.446	1.496857321
0.51	2.022447691
0.761	5.501289765
0.387	2.673301192
0.494	0.776968746
0.203	1.421501092
0.19	2.282717928
0.295	0.968678208
0.529	2.911899591
0.061	1.370545717
0.512	4.366563578
0.405	1.575710537
0.333	2.673898989
0.345	1.431003668
1.552	0.829613121
1.054	0.450247315
0.323	1.483743146
0.226	3.070685281
0.503	3.974988876
0.419	2.773596042
0.407	0.538888598
1.441	0.170044559
0.599	4.288701362
1.084	-0.676977505
0.74	5.302713732
0.133	-0.144589872
0.493	1.142475004
0.653	3.28398581
1.532	-0.927454628
0.463	3.535549945
1.011	1.975250783
0.739	-1.426571534
0.271	2.245480335
1.014	-0.811021435
0.909	2.542283813
0.466	1.5918881
1.59	-1.706055843
1.01	0.370209694
0.249	1.898939289
0.798	6.07491215
0.451	3.318889962
0.595	2.881434975
1.124	0.448198361
-0.018	-1.384911228
1.703	-1.310299957
0.9	-0.981174193
0.379	3.105014356
0.584	2.518110426
1.008	0.66743195
0.951	1.562951116
0.79	-0.297451349
0.17	-0.137552309
0.953	0.481620567
0.456	2.708059278
1.158	1.046478273
1.074	-1.169400087
1.127	1.436351097
0.478	1.445480335
-0.146	0.258176927
0.141	1.245204187
1.196	1.558349228
0.244	2.640551362
0.964	2.510737386
0.181	1.114890195
0.61	4.423651638
0.595	4.219749748
0.57	3.470209549
1.087	0.35891165
0.631	3.050947879
1.271	-0.163943631
1.45	-3.578472401
0.156	1.715651489
0.505	2.801168763
0.408	-0.066199342
0.434	3.450012874
0.184	1.442219265
0.306	3.590779095
1.042	1.584741281
1.119	0.474737809
0.617	2.894764528
0.961	2.066226253
1.079	0.291396864
0.207	0.312817135
0.215	0.462591068
1.113	-0.547369451
1.227	-0.885160523
0.55	3.058555083
1.366	-1.87596781
0.73	4.378370631
0.393	3.579629002
1.053	0.873104737
0.915	0.697345812
0.624	4.777063653
0.31	1.146823005
1.034	0.739623367
1.064	0.36891165
0.789	4.042165257
1.193	-0.437633652
0.57	4.360003001
-0.038	-0.357827423
1.169	1.493800658
0.098	-1.115148725
1.179	0.411504442
0.47	-0.976571534
0.626	4.513167084
0.071	0.322517994
0.157	0.799073963
0.988	-4.782356294
1.46	8.982906969
0.508	1.730910067
0.606	2.775202852
0.675	4.287283552
0.358	3.437731517
1.618	-0.749622815
0.419	3.610556653
0.435	-0.110926037
0.998	-2.829360317
1.664	-2.797369451
0.415	2.266016981
1.326	-1.007552309
0.504	3.548250765
0.963	0.59486328
-0.006	1.142820169
0.406	1.630562479
1.125	1.030480335
0.588	4.339777415
0.473	0.990225611
1.113	0.991994168
0.471	2.540075389
0.481	2.244336206
0.296	2.58189581
0.965	-3.367996999
0.994	0.52598118
0.473	2.528729441
1.568	-1.288005832
0.46	0.405251414
0.976	0.437828576
1.43	-3.492893693
0.51	2.589159291
1.146	-11.74029996
1.64	-1.004475979
1.053	0.445635971
0.537	3.876105549
0.885	5.986678751
1.087	1.432659804
1.64	-2.908591151
0.62	3.912972379
0.364	2.202713366
0.242	0.923866664
1.043	0.631214836
0.738	0.259775914
1.26	8.322023702
0.417	1.533057074
0.714	3.486453834
0.432	2.805609189
0.383	2.917129695
0.811	3.568911419
0.8	2.838479413
0.549	2.034455771
0.476	1.585976144
1.339	-0.090059619
1.4	-2.356251179
-0.122	-1.093367866
0.671	3.110222568
0.38	1.133377009
0.461	1.75953952
0.537	2.752475004
0.972	2.03871685
0.561	2.756227722
0.617	3.639233054
0.812	5.463315731
0.68	4.408390914
0.932	3.058633428
1.033	-0.652897296
0.446	3.788443996
0.644	3.391800708
0.203	0.438723964
0.414	1.100029399
0.83	4.317700694
0.08	-2.407008982
0.442	2.657129695
1.013	0.629004227
0.484	2.724493785
0.031	0.244182576
0.66	3.494467896
1.22	-0.083648903
0.49	-0.103040541
1.439	-1.431221787
0.687	4.452601476
1.005	0.86268962
1.029	-0.701495494
1.068	0.941944239
0.524	1.547147136
0.499	3.236312241
0.355	2.702361853
1.565	2.387866696
1.128	0.472179722
1.5	-0.54793125
0.952	0.31403219
0.075	-5.584550189
1.571	0.108349228
0.437	2.254390381
0.965	6.3345299
0.469	3.245410128
0.486	-16.42940009
0.56	1.872809692
0.644	4.144518015
0.906	3.761998049
0.955	0.653116991
0.833	4.885343313
0.716	4.262224436
0.41	1.287646167
0.164	0.405967019
1.072	1.545548413
1.301	-1.170927983
0.595	4.584406268
1.219	-2.636571534
1.611	-1.765594687
1.011	3.151796937
0.974	-0.0235356
1.166	-1.524225981
0.62	2.292312382
0.542	3.028379014
0.964	0.674741281
0.139	1.275108957
1.014	-2.025784545
-0.064	0.349465377
1.049	0.784912537
0.456	2.840447116
1.031	-1.23642829
0.251	1.522283813
0.345	1.956187283
0.476	2.93700214
0.539	-2.284733074
0.293	1.93333358
0.371	2.562165257
1.077	5.638470076
1.042	1.108312773
1.156	0.375761492
0.7	3.972154239
0.594	0.935956948
1.377	-1.120527797
0.409	2.438985591
0.524	2.971800511
0.526	3.068780323
1.032	1.06695078
0.356	1.373056899
1.311	-3.709624172
1.104	0.408825807
-0.053	-1.100059619
0.411	2.594700584
0.973	2.027958393
0.405	-3.0545589
0.437	2.217823128
1.12	0.749907729
0.423	3.488379014
0.511	2.320297432
0.578	4.428669323
0.508	3.215285876
1.042	0.561117968
1.232	2.543321449
0.528	1.977276712
1.528	-0.626480883
0.503	2.452591105
0.471	3.08212831
1.487	-2.030640726
0.491	3.639712544
-0.074	0.504489512
1.429	-0.21304922
0.144	1.674601603
-0.017	-3.404278837
1.037	0.77938533
0.563	2.072781588
1.462	-4.302583353
0.372	2.416322734
0.077	1.465651609
0.574	4.302990911
1.165	-0.207820278
0.497	3.456947796
0.503	3.70046683
0.674	-0.976679046
0.692	1.300749548
1	1.640248739
0.099	0.186823005
0.588	2.930263316
0.146	-1.916992829
0.878	1.071658713
1.028	-0.186816424
0.551	4.060469386
0.405	2.265140633
0.951	-0.175042625
0.517	2.464704837
1.677	-0.207820278
-0.015	-0.258856022
0.024	0.420299957
1.253	-1.417976298
0.689	2.928678208
0.575	4.369248964
0.56	-0.957076428
1.169	-3.037783455
1.096	0.163519389
1.302	0.618989906
0.5	2.559400087
0.435	3.893122567
0.477	3.795250783
1.418	8.77484289
1.395	8.397581011
1.076	-3.371009675
0.998	-0.326480611
1.212	-0.539448638
0.585	1.618678208
0.473	3.271796937
0.184	2.255677678
1.025	-0.83130529
0.863	3.266968746
1.33	-0.243080988
1.163	0.336351097
0.487	3.471141068
0.57	5.411038099
1.14	1.858729441
1.2	0.840661603
0.7	4.359380713
0.127	-1.83253735
1.254	7.206694634
1.406	-3.839955128
1.004	0.732330118
0.755	5.219897427
0.581	4.470037839
0.515	2.705939512
0.473	3.625831225
0.94	1.455278498
0.807	5.470694243
1.122	-0.683232992
1.532	-1.644413556
0.409	1.048349228
1.152	0.690476086
0.619	4.374597548
1.346	-1.201691933
0.551	2.338551925
0.994	1.124704837
1.293	6.637794441
0.891	6.160669453
0.185	2.532898501
1.12	0.856857321
0.561	1.981278605
0.916	0.188729441
0.966	1.016458292
0.137	-2.16365717
0.518	3.11847469
0.142	-5.942205558
0.643	5.07673553
1.126	1.888054051
0.2	-1.812510573
1	1.785617774
0.515	2.427244517
1.071	7.174582161
0.228	0.761356415
0.459	3.503076198
0.63	-4.375641233
0.481	3.455805696
0.646	3.354793317
0.891	1.657173223
0.599	4.983426814
0.491	2.887980557
0.038	-2.190759744
1.14	-2.687013322
0.26	2.096351097
0.557	4.500945458
0.695	4.246453834
1.125	1.723304683
0.625	1.755609189
0.392	2.920118193
1.6	-1.926840451
1.041	0.786350578
1.467	-0.291994661
0.403	0.262469914
0.99	0.477244517
1.634	-19.65287704
0.398	2.193646251
1.048	0.311061232
1.074	0.138198361
1.045	6.627190952
0.758	3.682692847
0.43	3.591160178
1.243	0.780715128
1.269	-0.109618427
1.082	1.184481115
0.262	1.527940289
1.314	-0.282654188
1.478	-1.451598476
0.479	2.152263044
0.448	3.004471439
0.335	2.331931612
1.047	-0.973053281
1.151	1.874957375
0.6	5.031087231
0.643	4.625426742
0.934	-0.599044589
0.415	2.324305919
1.583	0.743611346
0.669	4.514743094
0.521	1.532334817
0.022	-1.028800297
0.739	5.321600994
0.707	4.525745524
0.471	2.004665148
0.995	2.622809692
0.743	5.185551225
0.352	1.858729441
0.364	1.426886312
0.054	-2.745838849
1.112	0.17924243
0.724	0.683668152
1.106	0.244381734
0.029	1.669527929
0.945	3.748748702
1.363	-3.359624172
0.565	3.529961499
0.659	3.520737386
0.873	1.137412509
1.051	0.143878838
0.98	0.19513117
0.79	3.547524025
0.939	5.731199458
1.639	-1.630140126
0.353	2.208888598
1.345	-0.298824862
0.402	2.802846759
1.1	1.570476086
0.725	2.498907997
0.601	3.297329794
-0.116	-4.52896571
0.775	5.638275684
1.63	-1.052897296
0.57	4.038005339
0.426	1.763878838
1.223	-0.408444142
0.407	2.269185507
0.501	-4.414973907
0.505	1.925675023
1.099	-0.528856022
0.202	1.462523819
1.308	7.863936196
0.584	3.447376548
0.961	0.246454164
0.626	3.407969675
0.958	1.144890195
1.217	0.554957375
1.2	1.12357171
0.401	3.798552293
0.489	3.616348482
1.097	1.29839987
1.263	1.437823128
1.36	7.3160947
1.05	0.51865575
0.453	3.273669485
0.856	1.114986101
0.689	4.169598482
1.05	0.668371193
1.165	-1.803053281
1.005	2.295495667
1.24	0.960725265
1.53	-0.737132475
-0.19	-2.420376633
1.4	10.29492486
1.279	0.62060552
1.136	1.586741736
0.396	3.030667821
0.48	2.396738215
0.333	2.666738215
1.71	-1.709700043
0.061	-0.454043052
0.68	0.529532051
0.57	-21.03076044
1.19	7.0482608
1.037	1.14869471
1.079	-0.382216116
1.202	1.554455771
0.913	6.368939607
0.331	2.919547702
1	-0.273053281
0.178	1.149618985
0.083	1.118318878
0.214	1.930281604
0.993	0.812545372
1.556	9.643830595
1.257	0.292263044
0.442	2.19486328
1.548	-2.141838654
1.134	1.661356415
1.055	2.195131756
1.49	-1.201111402
0.097	1.14001933
0.18	1.717195296
1.096	0.609233054
0.44	2.840133521
-0.117	-1.818098735
0.559	2.707601619
1.31	-0.270299957
1.257	-1.698824862
0.465	3.397136948
1.155	-1.25866409
1.58	-1.21793125
0.631	2.745410128
1.633	-2.747729896
0.743	5.467892066
0.513	2.810930931
-0.165	-0.6745589
0.628	3.898801668
1.12	-1.269284872
0.962	6.250836287
0.947	0.099929125
0.523	3.048176927
0.115	-7.388381876
0.009	1.272781302
1.626	-0.688938768
0.398	1.747376548
1.341	-1.962277125
0.416	0.500749892
0.645	5.147449031
1.12	0.602528484
1.735	-2.835448862
0.661	-0.214664791
0.534	1.64270403
0.521	3.905956158
1.07	0.818369179
0.45	3.678497085
0.461	3.57318682
1.195	-5.864305271
1.468	0.321063968
0.462	3.24177151
1.145	-0.291060393
0.214	0.776114406
0.035	0.596741736
0.64	3.851116339
0.794	1.255169421
1.697	-2.144911228
0.502	3.079212973
0.73	5.183028075
0.356	-0.985148463
1.029	-0.918487611
0.831	4.485419423
0.563	2.161809929
1.34	-0.480401347
0.618	3.054834096
1.251	0.08328078
0.475	3.240118193
-0.015	-0.328487611
1.601	-1.669688543
0.472	1.575266976
1.071	-5.965149978
0.494	2.212114354
1.01	1.496351097
1.172	-0.510038501
1.534	-1.95377492
0.476	3.847331232
0.2	-1.916992829
1.572	-0.407629812
0.461	2.221901478
1.64	-1.757824856
1.064	0.358825807
0.657	4.742844535
0.681	4.352496598
1.367	-3.417996999
1.03	0.821576648
1.2	-0.342216941
0.067	0.144677694
0.169	-2.597439045
1.17	-0.406943101
0.61	3.875410128
0.528	2.876167851
0.257	1.914627043
0.84	5.621160616
0.556	2.591143729
0.3	1.199367457
0.445	1.882049803
-0.084	0.422873311
1.499	-0.498055761
-0.004	0.846348482
1	-0.20732383
1.344	-1.061321792
0.312	1.338947344
0.396	3.462643796
1.477	-5.127510986
0.492	2.339219845
1.304	-4.943629551
0.428	3.270532197
1.188	-2.173053281
0.53	3.73270403
-0.086	-2.164748586
1.073	2.524110323
0.695	5.281841167
1.02	0.999400087
1.555	-2.506231833
1.33	-1.023342163
0.397	2.132817135
0.389	3.013004841
1.245	-0.553040541
0.807	1.358212503
0.505	2.52486328
-0.002	0.591100655
1.109	0.255335209
1.639	0.890044559
0.912	1.458985591
0.942	2.443412845
1.498	-2.375448862
0.514	3.616947796
0.671	1.29634283
0.478	2.957422919
0.89	5.635508396
1.032	1.032231888
0.408	1.924700584
1.491	-10.93106039
1.015	2.356734866
0.417	1.901899591
0.56	0.124532031
-0.046	-0.696552044
0.441	2.335805696
0.58	1.485491564
1.08	-1.407069119
0.245	2.07486328
0.904	1.141202772
0.479	1.73095734
1.088	6.311318563
-0.042	-0.974022435
1.184	0.955675023
0.057	0.722366348
1.6	0.439618985
1.391	0.184986101
1.06	0.869459621
1.151	-0.91061467
1.113	-0.254629041
0.68	4.313352755
0.518	2.679233054
1.19	-3.213089139
1.214	0.486458292
0.364	2.345386392
0.453	1.775210753
-0.001	-4.331254312
0.551	3.699955807
0.045	0.521063968
0.12	-0.261617051
1.639	-3.894973907
0.64	2.854801808
0.392	1.084777561
0.322	-0.839360317
0.949	1.304481115
0.557	3.954193892
0.215	-6.743717747
0.983	-0.614060488
0.838	-0.115109805
1.108	-1.120077171
1.098	-0.286055843
0.046	1.179331362
0.941	-0.147456794
0.568	4.151160616
0.74	6.078257565
1.647	9.612398854
1.32	1.520562479
0.1	-0.781021435
1.599	-3.365641233
0.47	2.012545372
0.537	2.405548413
0.564	0.983668152
1.289	0.276458292
1.015	1.790551362
0.323	1.679047473
1.35	-0.186313312
0.655	4.902788699
0.42	2.560660829
0.749	5.324975852
1.618	-1.051919185
0.965	5.599250871
-0.044	-0.415618266
0.71	-3.073089139
0.785	4.162487287
0.446	3.896869267
0.569	4.19941498
0.068	1.09099581
0.423	1.830661603
0.623	4.111998049
0.586	3.735518831
0.673	3.439308353
1.287	-0.458535457
1.258	7.662614703
0.251	0.315617774
1.025	-2.490310684
0.466	2.565661728
1.167	1.105661728
